"","CommodityCode","LineCode","PCECategory","CommodityDescription","ProducersValue","Transportation Costs","Wholesale","Retail","PurchasersValue","Year","ProducersValuebyCommodityCode","Mapping_ratio"
"1","111CA","27","Food and nonalcoholic beverages purchased for off-premises consumption","Farms",55659,"6470","15192","30536","107857","2017",75520,0.737010063559322
"2","111CA","29","Food produced and consumed on farms","Farms",433,"0","0","0","433","2017",75520,0.00573358050847458
"3","111CA","41","Recreational items","Farms",18570,"2028","4325","18766","43690","2017",75520,0.245895127118644
"4","111CA","84","Food furnished to employees (including military)","Farms",858,"101","226","0","1185","2017",75520,0.0113612288135593
"5","113FF","27","Food and nonalcoholic beverages purchased for off-premises consumption","Forestry, fishing, and related activities",3293,"324","360","1533","5511","2017",6572,0.501065124771759
"6","113FF","77","Membership clubs, sports centers, parks, theaters, and museums","Forestry, fishing, and related activities",3011,"0","0","0","3011","2017",6572,0.45815581253804
"7","113FF","80","Other recreational services","Forestry, fishing, and related activities",124,"0","0","0","124","2017",6572,0.0188679245283019
"8","113FF","84","Food furnished to employees (including military)","Forestry, fishing, and related activities",144,"14","16","0","174","2017",6572,0.021911138161899
"9","212","27","Food and nonalcoholic beverages purchased for off-premises consumption","Mining, except oil and gas",7,"2","0","4","13","2017",173,0.0404624277456647
"10","212","38","Fuel oil and other fuels","Mining, except oil and gas",121,"45","3","52","221","2017",173,0.699421965317919
"11","212","41","Recreational items","Mining, except oil and gas",14,"6","2","14","36","2017",173,0.0809248554913295
"12","212","42","Household supplies","Mining, except oil and gas",31,"13","1","20","65","2017",173,0.179190751445087
"13","22","56","Water supply and sanitation","Utilities",39512,"0","0","0","39512","2017",265417,0.148867630935471
"14","22","58","Electricity","Utilities",177661,"0","0","0","177661","2017",265417,0.669365564376057
"15","22","59","Natural Gas","Utilities",48244,"0","0","0","48244","2017",265417,0.181766804688471
"16","311FT","27","Food and nonalcoholic beverages purchased for off-premises consumption","Food and beverage and tobacco products",428332,"8585","73655","238847","749419","2017",584356,0.732998377701264
